id,pertanyaan,faktor,arah_skor
101,"Saya suka mimpi tentang hal-hal yang fantastis dan aneh-aneh.","M","positif"
102,"Ditinggalkan dalam rumah kosong sendirian, saya cenderung merasa takut dan cemas.","O","positif"
103,"Bila saya tidak menyukai orang-orang, maka saya bisa berpura-pura saya menyukai mereka.","N","positif"
1,"Saya merasa ingatan saya jauh lebih daripada sebelumnya.","B","positif"
2,"Dengan hidup menyendiri, seperti seorang pertapa, saya merasa bahagia.","A","negatif"
5,"Saya jengkel terhadap orang-orang yang merasa dirinya bisa melakukan sesuatu lebih baik dari orang lain.","E","positif"
6,"Dalam pesta, saya membiarkan orang-orang lain yang membuat humor dan bercerita.","F","negatif"
7,"Bila penghasilan saya melebihi dari yang saya butuhkan sehari-hari, maka saya akan menyumbangkan kelebihan uang tersebut pada organisasi/yayasan social.","G","positif"
93,"Saya ini pemalu dan sangat berhati-hati dalam berteman dengan orang-orang baru.","H","negatif"
94,"Saya rasa apa yang diakatakan dalam puisi dapat juga dikatakan dengan kata-kata biasa.","M","negatif"
95,"Saya curiga bahwa orang yang baik-baik di depan saya, dapat ""berhianat"" di belakang saya.","L","positif"
96,"Saya rasa pengalaman-pengalaman yang sangat dramatis yang saya alami dalam tahun-tahun ini tidak mempengaruhi kepribadian saya.","Q4","negatif"
97,"Saya cenderung untuk berbicara agak perlahan.","F","negatif"
98,"Saya merasa takut yang tak beralasan terhadap hal-hal tertentu misalnya pada binatang tertentu, tempat tertentu, benda tertentu, dan sebagainya.","O","positif"
86,"Perhatian saya terhadap orang-orang lain mungkin tidaklah sebesar perhatian mereka terhadap diri saya.","A","negatif"
87,"Saya agaknya bisa menahan diri dalam mengutarakan perasaan saya, daripada orang-orang lain.","N","positif"
89,"Saya menjadi tidak sabar, marah dan gelisah, bila orang-orang memperlambat saya tidak pada tempatnya.","C","negatif"
90,"Banyak orang mengatakan bahwa saya suka melakukan sesuatu dengan cara sendiri.","E","positif"
91,"Saya biasanya tidak protes bila mendapat alat-alat yang sebenarnya kurang sesuai dengan yang seharusnya untuk melekukan suatu pekerjaan.","G","negatif"
8,"Kebanyakan orang yang saya jumpai di pesta, merasa senang bertemu saya.","A","positif"
10,"Saya tersenyum pada diri sendiri bila melihat orang yang menampilkan ketidak-sesuaian antara perbuatan dan ucapannya.","N","negatif"
11,"Ketika saya kecil, saya merasa sedih bila meninggalkan rumah untuk ke sekolah setiap hari.","O","positif"
15,"Bila saya merencanakan sesuatu, maka saya lebih senang mengerjakannya sendiri, tanpa bantuan orang lain.","Q2","positif"
16,"Saya tidak senang merenungkan kemungkinan-kemungkinan yang bisa terjadi pada masa lampau karena itu hanya membuang waktu saja.","M","negatif"
17,"Bila saya akan naik kereta api, saya cenderung untuk tergesa-gesa dan kuatir terlambat, meskipun tahu bahwa saya punya cukup waktu.","Q4","positif"
18,"Terkadang, walaupun sebentar, timbul perasaan benci terhadap orang tua saya.","I","negatif"
19,"Saya bisa senang dengan pekerjaan di mana saya seharian harus mendengarkan keluhan-keluhan yang tidak menyenangkan baik dari para langganan ataupun dari karyawan sendiri.","C","positif"
80,"Saya biasanya tidak pernah menyadari adanya propaganda-propaganda tersembunyi di dalam apa yang say abaca, kecuali bila ada orang lain yang menunjukkannya.","B","negatif"
81,"Menurut pendapat saya, setiap cerita maupun film harus mengingatkan kita pada suatu moral.","G","positif"
83,"Terkadang saya merasa ragu-ragu untuk menggunakan pemikiran/ide-ide sendiri, khawatir kalau ide-ide tersebut tidak praktis.","Q1","negatif"
84,"Saya tampaknya tidak cocok bila harus berhubungan dengan orang-orang yang kaku dan terlalu sopan (formil).","A","positif"
85,"Ingatan saya tidak banyak berubah dari hari ke hari.","B","positif"
72,"Saya cenderung bersikap kritis terhadap pekerjaan orang lain.","L","positif"
73,"Lebih baik keinginan tertentu saya dibatalkan, daripada akan merepotkan pembantu jika dilaksanakannya.","G","negatif"
74,"Saya senang bepergian kapan saja.","F","positif"
75,"Saya pernah hampir pingsan ketika mengalami suatu rasa sakit yang sangat, atau bila melihat darah.","H","negatif"
76,"Saya senang membicarakan masalah-masalah setempat dengan orang-orang lain.","A","positif"
78,"Saya harus menahan diri untuk tidak terlalu banyak melibatkan diri/mencampuri masalah orang lain.","E","negatif"
22,"Saya merasa sangat malu bila harus bercerita pada orang-orang bahwa saya pernah tinggal di Perkampungan Nudist (perkampungan orang telanjang).","H","negatif"
23,"Saya senang berkumpul dengan orang banyak, seperti menghadiri pertemuan-pertemuan atau pesta-pesta.","A","positif"
25,"Baik di jalan, maupun di toko, saya tidak senang dengan cara orang-orang memperhatikan orang lain.","L","positif"
27,"Bila seorang tetangga menipu saya secara kecil-kecilan, saya lebih cenderung untuk memperoloknya daripada membuat perkara.","N","negatif"
29,"Bila dalam suatu tugas saya diberi wewenang, maka instruksi-instruksi saya haruslah dilaksanakan, bila tidak, maka saya akan mengundurkan diri dari tugas tersebut.","E","positif"
30,"Menurut pendapat saya adalah bijaksana untuk menghindari perasaan gembira yang berlebihan, karena bisa meletihkan saya.","F","negatif"
32,"Saya rasa adalah kejam untuk menyuntik anak-anak yang masih kecil, walaupun itu demi kesehatan, dan para orang tua berhak menolak anjuran suntik terhadap anak-anak mereka.","I","positif"
34,"Bila perlu saya bisa melupakan kekhawatiran dan tanggung jawab.","C","negatif"
35,"Adalah tidak mudah bagi saya untuk mengikuti suatu kesalahan.","G","positif"
64,"Saya berpendapat bahwa sistem pendidikan modern sekarang, tidaklah sebaik sistem pendidikan yang lama, yaitu: ""Bertindaklah keras terhadap anak!""","Q1","positif"
66,"Saya berusaha untuk tidak melibatkan diri dalam kegiatan social dengan berbagai tanggung jawabnya.","Q2","positif"
68,"Saya mengalami keadaan yang kuat (seperti rasa takut, marah, gembira) tanpa ada suatu sebab yang berarti :","O","positif"
69,"Pada saat-saat tertentu saya tak dapat berpikir dengan jernih","Q3","positif"
70,"Saya senang mewajibkan atau menyuruh orang lain membuat janji pada waktu seperti yang mereka inginkan, walaupun hal tersebut agak kurang menyenangkan bagi saya.","A","negatif"
57,"Saya pernah aktif dalam mengorganisir perkumpulan sosial/kegiatan kelompok","Q2","negatif"
59,"Bila tuduhan yang saya lontarkan itu benar, maka saya akan berbuat sedemikian rupa sehingga akhirnya keinginan-keinginan saya terpenuhi.","E","positif"
60,"Halangan-halangan yang saya hadapi, bisa membuat saya hamper menangis.","C","negatif"
61,"Menurut pendapat saya, banyak Negara-negara lain sebenarnya lebih menunjukkan sikap bersahabat daripada yang kita duga semula.","L","negatif"
62,"Setiap hari, ada saat-saat tertentu dimana saya ingin menyelami pemikiran-pemikiran saya tanpa diganggu oleh orang lain.","Q3","positif"
63,"Saya sering kesal terhadap peraturan-peraturan kecil, walaupun saya menyadari pentingnya peraturan tersebut.","G","negatif"
38,"Kesehatan saya mudah terpengaruh oleh perubahan mendadak, sehingga saya harus mengubah kembali rencana semula.","Q4","positif"
39,"Saya merasa senang bila pada waktu-waktu tertentu saya dilayani oleh pembantu-pembantu pribadi.","N","positif"
40,"Bila saya sedang bersama dengan orang banyak, maka saya merasa agak kaku dan tidak bisa menonjolkan diri seperti seharusnya.","H","negatif"
41,"Menurut pendapat saya, orang-orang harus lebih mentaati hukum-hukum moral.","G","positif"
42,"Beberapa hal membuat saya sangat marah, sehingga saya anggap lebih baik untuk ""tidak berbicara"".","C","negatif"
